Nº Protocolo;Código DRE;DRE;Processo SIMPROC;Código Instituição;Instituição;Código Escola;Unidade Conveniada;Vagas Contratadas;Vagas Berçário Contratadas;Total Mensal;Despesa de Instalação;IPTU;Data Início;Data Término;Situação Convênio;Data Lavratura do Termo;Data Lavratura do Aditamento
1539;108.700;DIRETORIA REGIONAL DE EDUCACAO ITAQUERA;2014-0.140.537-8;300.782;ASS KALIXTO MENDES;308.145;CR.P.CONV - KALIXTO MENDES II;87;23;53.222,87;8.500,00;;23/09/2014;22/03/2017;Aprovado;23/09/2014;15/02/2016
2562;108.700;DIRETORIA REGIONAL DE EDUCACAO ITAQUERA;2015-0.277.213-9;300.129;ASS DA VIDA VERDE TOPY BOL;306.713;CR.P.CONV - LINDALVA DIAS MARREIRO;189;18;93.637,11;10.888,02;;01/02/2016;31/07/2018;Aprovado;01/02/2016;
590;108.700;DIRETORIA REGIONAL DE EDUCACAO ITAQUERA;2012-0.278.598-7;300.509;MA MA UNIAO PARA ASSISTENCIA A CRIANCA;306.347;CR.P.CONV - MA-MA;201;72;109.608,99;;;01/07/2015;31/12/2017;Aprovado;28/12/2012;15/02/2016
2574;108.700;DIRETORIA REGIONAL DE EDUCACAO ITAQUERA;2015-0.343.454-7;301.100;UNIAO SOCIAL AMIGOS DO JARDIM ROBRU;307.642;CR.P.CONV - MARAVILHA;153;67;89.609,47;13.000,00;;03/02/2016;02/08/2018;Aprovado;03/02/2016;17/03/2016
1540;108.700;DIRETORIA REGIONAL DE EDUCACAO ITAQUERA;2014-0.157.570-2;800.024;COMITÊ SETH DE DESENVOLVIMENTO SOCIAL;308.139;CR.P.CONV - MARIA ANGELA TOSCANO STRAUB;114;78;76.301,94;8.000,00;;08/09/2014;07/03/2017;Aprovado;08/09/2014;
1045;108.700;DIRETORIA REGIONAL DE EDUCACAO ITAQUERA;2014-0.108.101-7;300.873;INSTITUIÇÃO AQUARELA;308.109;CR.P.CONV - MARIA II;99;38;61.579,79;8.972,24;;30/06/2014;29/12/2016;Aprovado;30/06/2014;11/04/2016
2594;108.700;DIRETORIA REGIONAL DE EDUCACAO ITAQUERA;2016-0.028.113-0;800.175;ASSOCIAÇÃO BENEFICENTE JERICOACOARA;308.675;CR.P.CONV - MARIA VERA;122;;63.428,78;12.500,00;;04/03/2015;03/09/2017;Aprovado;04/03/2016;
2340;108.700;DIRETORIA REGIONAL DE EDUCACAO ITAQUERA;2015-0.255.360-7;300.410;CRECHE COMUNITARIA SANTA ISABEL;307.012;CR.P.CONV - MAYARA SANTOS SILVA;280;112;149.133,20;35.500,00;;20/10/2015;19/04/2018;Aprovado;20/10/2015;
924;108.700;DIRETORIA REGIONAL DE EDUCACAO ITAQUERA;2012-0.298.544-7;300.505;NUCLEO ASSISTENCIAL FRATERNO - NAF;306.350;CR.P.CONV - MEIMEI;243;100;132.022,57;;;01/07/2015;31/12/2017;Aprovado;28/12/2012;12/04/2016
1218;108.700;DIRETORIA REGIONAL DE EDUCACAO ITAQUERA;2014-0.215.693-2;300.727;ASS EVANGELICA MONTE CARMELO;307.871;CR.P.CONV - MONTE CARMELO II;130;32;73.244,70;7.000,00;;08/09/2014;07/03/2017;Aprovado;08/09/2014;15/02/2016
1536;108.700;DIRETORIA REGIONAL DE EDUCACAO ITAQUERA;2014-0.231.983-1;300.727;ASS EVANGELICA MONTE CARMELO;308.138;CR.P.CONV - MONTE CARMELO III;80;32;51.838,40;4.000,00;;08/09/2014;07/03/2017;Aprovado;05/09/2014;28/01/2015
2644;108.700;DIRETORIA REGIONAL DE EDUCACAO ITAQUERA;2015-0.283.092-9;300.891;ASS RESGATE DO JARDIM SAO JOAO;308.014;CR.P.CONV - MULEQUE;84;36;54.531,24;8.094,33;;20/04/2016;19/10/2018;Aprovado;20/04/2016;
2526;108.700;DIRETORIA REGIONAL DE EDUCACAO ITAQUERA;2015-0.263.298-1;300.865;ASS NOVA ESPERANCA;308.526;CR.P.CONV - MUNDO MAGICO;80;32;51.838,40;12.000,00;;18/12/2015;17/06/2018;Aprovado;18/12/2015;
67;108.700;DIRETORIA REGIONAL DE EDUCACAO ITAQUERA;2012-0.269.462-0;300.356;CENTRO ESPIRITA IRMA NICE;306.876;CR.P.CONV - NCE, IRMA;79;18;48.461,19;;;13/07/2015;12/01/2018;Aprovado;13/01/2013;17/06/2015
2520;108.700;DIRETORIA REGIONAL DE EDUCACAO ITAQUERA;2015-0.283.096-1;800.128;ASSOCIAÇÃO BENEFICENTE CRESCER;308.529;CR.P.CONV - NINHO DA CRIANCA;80;32;51.838,40;7.484,39;;18/12/2015;17/06/2018;Aprovado;18/12/2015;10/08/2016
4801;108.700;DIRETORIA REGIONAL DE EDUCACAO ITAQUERA;2016-0.222.167-3;300.500;INSTITUTO PAUL. DE ED - MORADIA E PROM. SOCIAL NOVOS RUMOS;308.077;CR.P.CONV - NOVOS RUMOS, CEI;137;27;74.969,63;7.800,00;;;;Em Análise;05/10/2016;
1040;108.700;DIRETORIA REGIONAL DE EDUCACAO ITAQUERA;2013-0.359.880-5;301.007;ASS COMUNITARIA OLHANDO PARA O FUTURO;308.097;CR.P.CONV - OLHAR PARA O FUTURO;140;32;77.194,60;8.446,63;;16/06/2014;15/12/2016;Aprovado;16/06/2014;15/02/2016
966;108.700;DIRETORIA REGIONAL DE EDUCACAO ITAQUERA;2011-0.277.218-2;300.150;INSTITUTO MULHER;307.740;CR.P.CONV - PEQUENO INFANTE;114;53;71.101,94;7.333,15;;01/09/2014;28/02/2017;Aprovado;01/03/2012;01/02/2016
3770;108.700;DIRETORIA REGIONAL DE EDUCACAO ITAQUERA;2016-0.172.785-9;300.514;OBRA SOCIAL DA PAROQUIA SAO MATEUS APOSTOLO;307.227;CR.P.CONV - PEQUENO PRINCIPE;144;59;84.390,56;12.033,70;;19/08/2016;18/02/2019;Aprovado;19/08/2016;
2216;108.700;DIRETORIA REGIONAL DE EDUCACAO ITAQUERA;2014-0.282.630-0;300.544;ORGANIZACAO NAO GOVERNAMENTAL - ONG PLENO VIVER;306.841;CR.P.CONV - PLENO VIVER II;70;25;45.730,30;4.256,73;;09/02/2015;08/08/2017;Aprovado;30/10/2014;
970;108.700;DIRETORIA REGIONAL DE EDUCACAO ITAQUERA;2011-0.307.624-4;300.544;ORGANIZACAO NAO GOVERNAMENTAL - ONG PLENO VIVER;307.827;CR.P.CONV - PLENO VIVER III;80;32;51.838,40;9.100,00;;10/02/2015;09/08/2017;Aprovado;10/08/2012;30/10/2014
972;108.700;DIRETORIA REGIONAL DE EDUCACAO ITAQUERA;2012-0.051.391-2;300.544;ORGANIZACAO NAO GOVERNAMENTAL - ONG PLENO VIVER;307.790;CR.P.CONV - PLENO VIVER IV;80;32;51.838,40;8.691,62;;01/12/2014;31/05/2017;Aprovado;31/05/2012;15/10/2014
2202;108.700;DIRETORIA REGIONAL DE EDUCACAO ITAQUERA;2015-0.104.818-6;300.544;ORGANIZACAO NAO GOVERNAMENTAL - ONG PLENO VIVER;308.382;CR.P.CONV - PRIMEIROS PASSOS;94;45;60.901,74;12.000,00;;24/07/2015;23/01/2018;Aprovado;24/07/2015;24/07/2015
2527;108.700;DIRETORIA REGIONAL DE EDUCACAO ITAQUERA;2015-0.295.486-5;301.064;ASS CASA GIRASSOL DESENVOLV E CULTURA DA CRIANCA E ADOLESC;308.598;CR.P.CONV - PRO-EDUCAR;94;70;66.101,74;6.000,00;;07/03/2016;06/09/2018;Aprovado;07/03/2016;
2606;108.700;DIRETORIA REGIONAL DE EDUCACAO ITAQUERA;2016-0.051.841-5;800.136;ASSOCIAÇÃO EDUCACIONAL GUARANI;307.943;CR.P.CONV - PROFESSOR SIDNEY;80;32;51.838,40;6.000,00;;09/03/2016;08/09/2018;Aprovado;09/03/2016;
3742;108.700;DIRETORIA REGIONAL DE EDUCACAO ITAQUERA;2016-0.152.178-9;800.136;ASSOCIAÇÃO EDUCACIONAL GUARANI;306.974;CR.P.CONV - PROFESSOR TEIXEIRA;67;18;42.878,67;5.000,00;;13/07/2016;12/01/2019;Aprovado;13/07/2016;
2236;108.700;DIRETORIA REGIONAL DE EDUCACAO ITAQUERA;2015-0.190.297-7;800.039;ASSOCIAÇÃO QUIÁLTERAS CULTURAIS - A.Q.C;307.780;CR.P.CONV - QUIALTERAS CULTURAIS;116;55;72.371,56;8.018,29;;06/08/2015;05/02/2018;Aprovado;06/08/2015;
2360;108.700;DIRETORIA REGIONAL DE EDUCACAO ITAQUERA;2015-0.136.932-2;300.986;ASS VOVO JOANA;308.454;CR.P.CONV - RECANTO JOANA;98;69;67.600,98;6.717,89;;01/09/2015;28/02/2018;Aprovado;01/09/2015;01/04/2016
976;108.700;DIRETORIA REGIONAL DE EDUCACAO ITAQUERA;2009-0.245.105-3;300.410;CRECHE COMUNITARIA SANTA ISABEL;307.162;CR.P.CONV - REINALDO ROQUE;98;34;60.320,98;8.515,07;;15/10/2014;14/04/2017;Aprovado;15/10/2009;07/04/2016
977;108.700;DIRETORIA REGIONAL DE EDUCACAO ITAQUERA;2012-0.038.528-0;300.779;SOCIEDADE PRO MORADIA SAO VICENTE DE PAULO;307.822;CR.P.CONV - REINO DOS PEQUENINOS;121;53;74.057,79;6.910,22;;18/01/2015;17/07/2017;Aprovado;18/07/2012;21/05/2015
2388;108.700;DIRETORIA REGIONAL DE EDUCACAO ITAQUERA;2015-0.180.437-1;800.046;ASSOCIAÇÃO BENEFICENTE RUMO CERTO;308.525;CR.P.CONV - SANTA BARBARA II;80;56;56.830,40;12.000,00;;16/11/2015;15/05/2018;Aprovado;16/11/2015;
2564;108.700;DIRETORIA REGIONAL DE EDUCACAO ITAQUERA;2015-0.343.454-7;800.164;ASSOCIACAO DE ASSISTENCIA SOCIAL ENY VIEIRA MACHADO;306.319;CR.P.CONV - SANTA MARCELINA CENTRO INFANTIL CRECHE;363;81;175.469,37;;;01/02/2016;31/07/2018;Aprovado;01/02/2016;
1955;108.700;DIRETORIA REGIONAL DE EDUCACAO ITAQUERA;2015-0.017.335-1;300.832;ASS SANTA ZITA;308.273;CR.P.CONV - SANTA ZITA;97;48;62.806,17;6.500,00;;09/06/2015;08/12/2017;Aprovado;09/06/2015;
1032;108.700;DIRETORIA REGIONAL DE EDUCACAO ITAQUERA;2012-0.281.051-5;300.077;ASS CIVIL FAA DI BRUNO;306.360;CR.P.CONV - SAO JOAO BATISTA;240;93;129.381,60;;;01/07/2015;31/12/2017;Aprovado;27/12/2012;01/07/2015
2624;108.700;DIRETORIA REGIONAL DE EDUCACAO ITAQUERA;2015-0.295.492-0;300.015;ACAO COMUNITARIA SAO JOSE OPERARIO;307.050;CR.P.CONV - SAO JOSE OPERARIO II;130;41;75.116,70;10.325,89;;01/04/2016;30/09/2018;Aprovado;01/04/2016;
2435;108.700;DIRETORIA REGIONAL DE EDUCACAO ITAQUERA;2015-0.255.368-2;300.410;CRECHE COMUNITARIA SANTA ISABEL;307.013;CR.P.CONV - SEBASTIAO DA SILVA;80;31;51.630,40;7.269,55;;28/10/2015;27/04/2018;Aprovado;28/10/2015;
1219;108.700;DIRETORIA REGIONAL DE EDUCACAO ITAQUERA;2014-0.084.606-0;300.106;ASS COMUNITARIA SEMPRE VIVA;308.127;CR.P.CONV - SEMEANDO ALEGRIA;104;45;65.169,84;7.487,47;;20/08/2014;19/02/2017;Aprovado;20/08/2014;21/03/2016
2233;108.700;DIRETORIA REGIONAL DE EDUCACAO ITAQUERA;2015-0.135.422-8;800.089;ASSOCIAÇÃO BENEFICENTE LUZ DE UM NOVO MUNDO;307.861;CR.P.CONV - SEMENTINHAS DE ESPERANCA;195;55;103.703,05;20.000,00;;21/07/2015;20/01/2018;Aprovado;21/07/2015;11/04/2016
2717;108.700;DIRETORIA REGIONAL DE EDUCACAO ITAQUERA;2016-0.123.666-2;800.190;SAMARITANO SÃO FRANCISCO DE ASSIS;307.552;CR.P.CONV - SONIA MARIA DOS ANJOS MARTINELLI;80;32;51.838,40;6.700,00;;20/06/2016;19/12/2018;Aprovado;20/06/2016;
3739;108.700;DIRETORIA REGIONAL DE EDUCACAO ITAQUERA;2016-0.147.829-8;800.237;ASSOCIAÇÃO BENEFICENTE AMARAL OLIVEIRA;307.482;CR.P.CONV - SORRISOS DE CRIANCA;108;59;69.789,08;9.185,36;;08/07/2016;07/01/2019;Aprovado;08/07/2016;
2516;108.700;DIRETORIA REGIONAL DE EDUCACAO ITAQUERA;2015-0.295.476-8;800.022;SAPEN SABER E PENSAR DE MARIA FIRMINA;306.741;CR.P.CONV - TEMPO DE BRINCAR;68;9;41.471,88;5.700,00;;08/12/2015;07/06/2018;Aprovado;08/12/2015;
989;108.700;DIRETORIA REGIONAL DE EDUCACAO ITAQUERA;2014-0.092.984-5;300.368;CENTRO ESPIRITA JESUS REDIVIVO;306.739;CR.P.CONV - TERESA DAVILA;97;15;55.942,17;;;12/05/2014;11/11/2016;Aprovado;12/05/2014;
990;108.700;DIRETORIA REGIONAL DE EDUCACAO ITAQUERA;2010-0.185.492-2;300.626;INSTITUTO VIDA SAO PAULO;306.934;CR.P.CONV - THEREZINHA HELENA;110;41;66.898,70;7.272,28;;08/07/2015;07/01/2018;Aprovado;16/12/2010;08/07/2015
1085;108.700;DIRETORIA REGIONAL DE EDUCACAO ITAQUERA;2014-0.156.451-4;301.100;UNIAO SOCIAL AMIGOS DO JARDIM ROBRU;307.176;CR.P.CONV - TRINDADE;80;23;49.966,40;7.000,00;;18/07/2014;17/01/2017;Aprovado;18/07/2014;19/06/2015
2418;108.700;DIRETORIA REGIONAL DE EDUCACAO ITAQUERA;2015-0.255.368-2;301.100;UNIAO SOCIAL AMIGOS DO JARDIM ROBRU;306.859;CR.P.CONV - TRINDADE II;79;30;50.957,19;9.000,00;;09/11/2015;08/05/2018;Aprovado;09/11/2015;
991;108.700;DIRETORIA REGIONAL DE EDUCACAO ITAQUERA;2013-0.025.990-2;300.599;UNIAO CIDADE LIDER PRO MELHORAMENTOS DO BAIRRO;306.901;CR.P.CONV - UNIAO;146;58;84.972,54;7.300,00;;11/09/2015;10/04/2018;Aprovado;11/03/2013;11/04/2016
1946;108.700;DIRETORIA REGIONAL DE EDUCACAO ITAQUERA;2015-0.087.613-1;300.442;INSTITUTO CEM POR CENTO SOCIAL;306.869;CR.P.CONV - UNIVERSO DA CRIANCA II;98;26;58.656,98;4.600,00;;25/05/2015;24/11/2017;Aprovado;25/05/2015;
3769;108.700;DIRETORIA REGIONAL DE EDUCACAO ITAQUERA;2016-0.177.313-3;300.442;INSTITUTO CEM POR CENTO SOCIAL;307.062;CR.P.CONV - UNIVERSO DA CRIANCA III;172;71;97.946,28;8.318,00;;18/08/2016;17/02/2019;Aprovado;18/08/2016;
3740;108.700;DIRETORIA REGIONAL DE EDUCACAO ITAQUERA;2016-0.148.333-0;301.007;ASS COMUNITARIA OLHANDO PARA O FUTURO;307.065;CR.P.CONV - VALTER JACONI;131;45;76.343,69;14.076,00;;11/07/2016;10/01/2019;Aprovado;11/07/2016;
1009;108.700;DIRETORIA REGIONAL DE EDUCACAO ITAQUERA;2012-0.340.108-2;300.173;ASSOCIAÇÃO BENEFICENTE VIRTUDE DA CRIANÇA;306.875;CR.P.CONV - VIRTUDE DA CRIANCA;99;38;61.579,79;7.000,00;;28/06/2015;27/12/2017;Aprovado;28/12/2012;22/06/2016
1010;108.700;DIRETORIA REGIONAL DE EDUCACAO ITAQUERA;2009-0.084.160-1;300.173;ASSOCIAÇÃO BENEFICENTE VIRTUDE DA CRIANÇA;307.145;CR.P.CONV - VIRTUDE DA CRIANCA III;92;32;57.344,12;5.543,27;;15/10/2014;14/04/2017;Aprovado;09/09/2009;06/04/2016
1017;108.700;DIRETORIA REGIONAL DE EDUCACAO ITAQUERA;2009-0.191.097-6;300.173;ASSOCIAÇÃO BENEFICENTE VIRTUDE DA CRIANÇA;307.216;CR.P.CONV - VIRTUDE DA CRIANCA IV;149;39;82.205,51;12.317,63;;08/03/2015;07/09/2017;Aprovado;08/03/2010;15/02/2016
1025;108.700;DIRETORIA REGIONAL DE EDUCACAO ITAQUERA;2011-0.097.934-0;300.057;ASS BENEFICENTE DE APOIO A COMUNIDADE CARENTE UNIDA;307.779;CR.P.CONV - VITORIA;104;34;62.881,84;7.043,40;;10/12/2014;09/01/2017;Aprovado;10/05/2012;10/12/2014
2519;108.700;DIRETORIA REGIONAL DE EDUCACAO ITAQUERA;2015-0.282.293-4;301.009;ASS COMUNITARIA RAIO DE SOL;308.725;CR.P.CONV - VOVO LUIZA;119;49;72.403,99;8.500,00;;18/12/2015;17/06/2018;Aprovado;18/12/2015;
2329;108.800;DIRETORIA REGIONAL DE EDUCACAO JACANA/TREMEMBE;2015-0.267.774-8;300.215;ASSOCIACAO SOCIO CULTURAL IDEIA SOLIDARIA;307.769;EDITE FERNANDES;140;73;85.722,60;18.446,36;1.060,82;06/11/2015;05/05/2018;Aprovado;06/11/2015;28/01/2016
1339;108.800;DIRETORIA REGIONAL DE EDUCACAO JACANA/TREMEMBE;2014-0.295.812-5;300.548;PROMOVE ACAO SOCIO-CULTURAL;400.443;CEI INDIR - ANDRE NUNES JUNIOR, VER.;134;46;77.736,66;;;30/10/2014;29/04/2017;Aprovado;30/10/2014;28/01/2016
1382;108.800;DIRETORIA REGIONAL DE EDUCACAO JACANA/TREMEMBE;2012-0.114.217-9;300.592;SOCIEDADE EDUCATIVA E BENEFICENTE ESTRELA DA ESPERANCA;400.750;CEI INDIR - CEREJEIRAS;495;167;245.496,05;;;01/12/2014;31/05/2017;Aprovado;01/06/2012;01/02/2016
1385;108.800;DIRETORIA REGIONAL DE EDUCACAO JACANA/TREMEMBE;2012-0.285.841-0;300.484;IGREJA BATISTA NACIONAL DE VILA MARIA;400.449;CEI INDIR - CHACARA BELA VISTA;67;27;44.750,67;;;01/07/2015;31/12/2017;Aprovado;28/12/2012;23/06/2015
1696;108.800;DIRETORIA REGIONAL DE EDUCACAO JACANA/TREMEMBE;2014-0.353.200-8;300.673;ASSOCIAÇÃO SEARA NORTE;400.586;CEI INDIR - CHACARA BELA VISTA II;127;39;73.515,73;;;01/02/2015;31/07/2017;Aprovado;30/01/2015;
2160;108.800;DIRETORIA REGIONAL DE EDUCACAO JACANA/TREMEMBE;2015-0.117.748-2;300.000;13 DE MAIO ONG;400.678;CEI INDIR - COHAB SONDA II ROSE VALEZIN;87;41;56.966,87;;;01/07/2015;31/12/2017;Aprovado;30/06/2015;14/01/2016
1392;108.800;DIRETORIA REGIONAL DE EDUCACAO JACANA/TREMEMBE;2012-0.285.870-4;300.222;ASS METODISTA DE ACAO SOCIAL AMAS TUCURUVI;400.375;CEI INDIR - ELIZABETH DE SOUZA;176;66;98.486,24;;;01/07/2015;31/12/2017;Aprovado;28/12/2012;30/06/2015
1394;108.800;DIRETORIA REGIONAL DE EDUCACAO JACANA/TREMEMBE;2013-0.099.331-2;300.548;PROMOVE ACAO SOCIO-CULTURAL;306.732;CEI INDIR - ESPACO CRIANCA ELIAS ANTONIO ZOGBI;294;134;159.239,06;;;12/10/2015;11/04/2018;Aprovado;12/04/2013;28/01/2016
1421;108.800;DIRETORIA REGIONAL DE EDUCACAO JACANA/TREMEMBE;2012-0.285.945-0;300.307;CENTRO DE ORIENTACAO A FAMILIA- COR;400.454;CEI INDIR - JARDIM BRASIL - PRESEPIO;201;85;112.312,99;;;01/07/2015;31/12/2017;Aprovado;28/12/2012;27/01/2016
2271;108.800;DIRETORIA REGIONAL DE EDUCACAO JACANA/TREMEMBE;2015-0.267.398-0;300.000;13 DE MAIO ONG;400.376;CEI INDIR - JARDIM CABUCU;186;41;97.236,14;;;13/10/2015;12/04/2018;Aprovado;13/10/2015;
1409;108.800;DIRETORIA REGIONAL DE EDUCACAO JACANA/TREMEMBE;2012-0.283.062-1;300.592;SOCIEDADE EDUCATIVA E BENEFICENTE ESTRELA DA ESPERANCA;400.751;CEI INDIR - JARDIM FONTALIS I;263;86;137.010,37;;;20/06/2015;19/12/2017;Aprovado;20/12/2012;19/06/2015
2324;108.800;DIRETORIA REGIONAL DE EDUCACAO JACANA/TREMEMBE;2015-0.267.772-1;300.428;CRUZADA PRO INFANCIA;400.456;CEI INDIR - JARDIM GUANCA;240;87;128.133,60;;;21/10/2015;20/04/2018;Aprovado;21/10/2015;
1410;108.800;DIRETORIA REGIONAL DE EDUCACAO JACANA/TREMEMBE;2013-0.038.925-3;300.402;COORDENACAO REGIONAL DE OBRAS DE PROMOCAO HUMANA;400.681;CEI INDIR - JARDIM SAO PAULO I;114;24;65.069,94;;;27/09/2015;26/03/2018;Aprovado;20/03/2013;23/07/2015
1405;108.800;DIRETORIA REGIONAL DE EDUCACAO JACANA/TREMEMBE;2012-0.285.763-5;300.565;SOCIEDADE BENEFICENTE SAO CAMILO;400.440;CEI INDIR - JARDIM TREMEMBE;176;66;98.486,24;;;08/08/2015;07/01/2018;Aprovado;08/02/2013;17/07/2015
1414;108.800;DIRETORIA REGIONAL DE EDUCACAO JACANA/TREMEMBE;2013-0.128.671-7;300.222;ASS METODISTA DE ACAO SOCIAL AMAS TUCURUVI;400.687;CEI INDIR - JOVA RURAL;158;48;87.632,42;;;20/12/2015;19/06/2018;Aprovado;13/06/2013;08/07/2015
2325;108.800;DIRETORIA REGIONAL DE EDUCACAO JACANA/TREMEMBE;2015-0.267.773-0;300.428;CRUZADA PRO INFANCIA;400.457;CEI INDIR - JULIO LAMAS RIVERA, DR.;154;66;89.796,46;;;21/10/2015;20/04/2018;Aprovado;21/10/2015;27/01/2016
1431;108.800;DIRETORIA REGIONAL DE EDUCACAO JACANA/TREMEMBE;2013-0.068.308-9;300.402;COORDENACAO REGIONAL DE OBRAS DE PROMOCAO HUMANA;400.483;CEI INDIR - MALVINA RODRIGUES VIEIRA;79;18;48.461,19;;;10/10/2015;09/04/2018;Aprovado;10/04/2013;15/02/2016
1459;108.800;DIRETORIA REGIONAL DE EDUCACAO JACANA/TREMEMBE;2014-0.152.820-8;300.307;CENTRO DE ORIENTACAO A FAMILIA- COR;400.623;CEI INDIR - NAIR SALGADO;150;64;87.800,50;;;01/08/2014;31/01/2017;Aprovado;31/07/2014;27/01/2016
2423;108.800;DIRETORIA REGIONAL DE EDUCACAO JACANA/TREMEMBE;2015-0.301.853-5;300.215;ASSOCIACAO SOCIO CULTURAL IDEIA SOLIDARIA;400.677;CEI INDIR - PARQUE NOVO MUNDO II;183;48;97.507,17;;;23/11/2015;22/05/2018;Aprovado;23/11/2015;01/02/2016
1337;108.800;DIRETORIA REGIONAL DE EDUCACAO JACANA/TREMEMBE;2014-0.129.665-0;300.428;CRUZADA PRO INFANCIA;400.567;CEI INDIR - PEROLA BYINGTON;469;191;240.218,31;;;08/07/2014;07/01/2017;Aprovado;08/07/2014;04/05/2015
1471;108.800;DIRETORIA REGIONAL DE EDUCACAO JACANA/TREMEMBE;2011-0.225.395-9;300.592;SOCIEDADE EDUCATIVA E BENEFICENTE ESTRELA DA ESPERANCA;400.748;CEI INDIR - VILA GUILHERME;212;95;118.737,88;;;16/11/2014;15/05/2017;Aprovado;16/05/2012;01/02/2016
2158;108.800;DIRETORIA REGIONAL DE EDUCACAO JACANA/TREMEMBE;2015-0.110.428-0;300.246;ASSOCIAÇÃO EVANGELICA BENEFICENTE - AEB;400.455;CEI INDIR - VILA GUSTAVO;247;72;127.778,53;;;01/07/2015;31/12/2017;Aprovado;30/06/2015;
1454;108.800;DIRETORIA REGIONAL DE EDUCACAO JACANA/TREMEMBE;2012-0.285.065-2;300.565;SOCIEDADE BENEFICENTE SAO CAMILO;400.450;CEI INDIR - VILA MARIA;190;55;101.728,10;;;08/08/2015;07/01/2018;Aprovado;08/02/2013;12/01/2016
1455;108.800;DIRETORIA REGIONAL DE EDUCACAO JACANA/TREMEMBE;2012-0.285.693-0;300.317;CENTRO SOCIAL LEAO XIII;400.451;CEI INDIR - VILA MARIA ALTA;237;85;126.532,63;;;01/07/2015;31/12/2017;Aprovado;28/12/2012;28/12/2012
1332;108.800;DIRETORIA REGIONAL DE EDUCACAO JACANA/TREMEMBE;2014-0.295.808-7;300.592;SOCIEDADE EDUCATIVA E BENEFICENTE ESTRELA DA ESPERANCA;400.721;CEI INDIR - VILA MEDEIROS;486;109;229.877,14;;;30/10/2014;29/04/2017;Aprovado;30/10/2014;01/02/2016
1437;108.800;DIRETORIA REGIONAL DE EDUCACAO JACANA/TREMEMBE;2014-0.083.935-8;300.186;ASSOCIACAO DOS MORADORES DA ZONA NORTE;307.786;CR.P.CONV - RAIO DE SOL III;109;25;63.143,89;4.008,00;;01/10/2016;30/04/2019;Aprovado;01/04/2014;30/09/2016
2157;108.800;DIRETORIA REGIONAL DE EDUCACAO JACANA/TREMEMBE;2015-0.095.283-0;300.133;ASS DE AMIGOS EM PROL DA EDUCACAO INFANTIL;307.291;CR.P.CONV - AGUINALDO SOARES;60;17;39.414,20;1.400,00;;08/06/2015;07/12/2017;Aprovado;02/06/2015;
2107;108.800;DIRETORIA REGIONAL DE EDUCACAO JACANA/TREMEMBE;2015-0.147.899-7;300.673;ASSOCIAÇÃO SEARA NORTE;308.319;CR.P.CONV - AIDA CONCEICAO PITTOL DA SILVA;478;100;224.845,22;35.000,00;;17/07/2015;16/01/2018;Aprovado;17/07/2015;29/01/2016
1338;108.800;DIRETORIA REGIONAL DE EDUCACAO JACANA/TREMEMBE;2012-0.285.603-5;300.614;ASS METODISTA DE ACAO SOCIAL - AMAS AGUA FRIA;306.439;CR.P.CONV - AMAS AGUA FRIA;66;9;40.541,46;2.397,20;;01/07/2015;31/12/2017;Aprovado;27/12/2012;24/06/2015
1341;108.800;DIRETORIA REGIONAL DE EDUCACAO JACANA/TREMEMBE;2012-0.285.053-8;300.681;ASS METODISTA DE ACAO SOCIAL AMAS TUCURUVI;306.438;CR.P.CONV - AMAS TUCURUVI;70;;40.530,30;;;01/07/2015;31/12/2017;Aprovado;28/12/2012;30/06/2015
1375;108.800;DIRETORIA REGIONAL DE EDUCACAO JACANA/TREMEMBE;2012-0.285.483-0;300.165;ASS DE PROMOCAO SOCIAL MAIS UMA ESTRELA QUE NASCE;306.325;CR.P.CONV - ANDRE REGO DOS SANTOS;240;69;124.389,60;;;01/07/2015;31/12/2017;Aprovado;28/12/2012;15/02/2016
2351;108.800;DIRETORIA REGIONAL DE EDUCACAO JACANA/TREMEMBE;2015-0.267.766-7;300.171;ASS DO BEM ESTAR SOCIAL DA ZONA NORTE;306.708;CR.P.CONV - ASBEN II;90;;49.834,50;6.438,79;6.410,00;11/11/2015;10/05/2018;Aprovado;11/11/2015;
1383;108.800;DIRETORIA REGIONAL DE EDUCACAO JACANA/TREMEMBE;2013-0.121.687-5;300.171;ASS DO BEM ESTAR SOCIAL DA ZONA NORTE;306.937;CR.P.CONV - ASBEN III;110;30;64.610,70;4.210,30;;02/12/2015;01/06/2018;Aprovado;24/05/2013;23/07/2015
2489;108.800;DIRETORIA REGIONAL DE EDUCACAO JACANA/TREMEMBE;2015-0.279.052-8;300.171;ASS DO BEM ESTAR SOCIAL DA ZONA NORTE;308.478;CR.P.CONV - ASBEN JACANA;130;39;74.700,70;17.000,00;5.794,95;16/11/2015;15/05/2018;Aprovado;16/11/2015;01/07/2016
1373;108.800;DIRETORIA REGIONAL DE EDUCACAO JACANA/TREMEMBE;2012-0.136.582-8;300.673;ASSOCIAÇÃO SEARA NORTE;306.447;CR.P.CONV - AUGUSTA CORDEIRO DA ROCHA;476;158;236.119,24;25.865,12;;28/11/2014;27/05/2017;Aprovado;28/05/2012;30/01/2015
